"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN022023000","NEW DELHI PALAM, IN","2020-03-24",,"74",,
"IN022023000","NEW DELHI PALAM, IN","2020-03-25",,"77",,"63"
"IN022023000","NEW DELHI PALAM, IN","2020-03-26",,"73","91",
"IN022023000","NEW DELHI PALAM, IN","2020-03-27","0.02","69",,
"IN022023000","NEW DELHI PALAM, IN","2020-03-28","0.12","72",,"61"
"IN022023000","NEW DELHI PALAM, IN","2020-03-29","0.00","75",,"60"
"IN022023000","NEW DELHI PALAM, IN","2020-03-30",,"73",,"61"
"IN022023000","NEW DELHI PALAM, IN","2020-03-31",,"75",,"63"
"IN022023000","NEW DELHI PALAM, IN","2020-04-01","0.12","76",,"62"
"IN022023000","NEW DELHI PALAM, IN","2020-04-02","0.00","76",,"62"
"IN022023000","NEW DELHI PALAM, IN","2020-04-03",,"75","90","60"
"IN022023000","NEW DELHI PALAM, IN","2020-04-04",,"76",,"59"
"IN022023000","NEW DELHI PALAM, IN","2020-04-05",,"79","93","63"
"IN022023000","NEW DELHI PALAM, IN","2020-04-06",,"84",,"66"
"IN022023000","NEW DELHI PALAM, IN","2020-04-07",,"79","99","65"
"IN022023000","NEW DELHI PALAM, IN","2020-04-08",,"80",,"64"
"IN022023000","NEW DELHI PALAM, IN","2020-04-09",,"79","94","62"
"IN022023000","NEW DELHI PALAM, IN","2020-04-10",,"83",,"64"
"IN022023000","NEW DELHI PALAM, IN","2020-04-11",,"86",,"69"
"IN022023000","NEW DELHI PALAM, IN","2020-04-12",,"85",,"67"
"IN022023000","NEW DELHI PALAM, IN","2020-04-13",,"87",,"70"
"IN022023000","NEW DELHI PALAM, IN","2020-04-14",,"90",,"75"
"IN022023000","NEW DELHI PALAM, IN","2020-04-15",,"90","106",
"IN022023000","NEW DELHI PALAM, IN","2020-04-16",,"89",,"73"
"IN022023000","NEW DELHI PALAM, IN","2020-04-17",,"87","105",
"IN022023000","NEW DELHI PALAM, IN","2020-04-18",,"83",,
"IN022023000","NEW DELHI PALAM, IN","2020-04-19","0.02","83","101","67"
"IN022023000","NEW DELHI PALAM, IN","2020-04-20","0.00","80",,"70"
"IN022023000","NEW DELHI PALAM, IN","2020-04-21",,"83",,"66"
"IN022023000","NEW DELHI PALAM, IN","2020-04-22",,"86",,"67"
"IN022023000","NEW DELHI PALAM, IN","2020-04-23",,"84",,
"IN022023000","NEW DELHI PALAM, IN","2020-04-24",,"86",,"69"
"IN022023000","NEW DELHI PALAM, IN","2020-04-25",,"87",,"76"
"IN022023000","NEW DELHI PALAM, IN","2020-04-26","0.35","75",,
"IN022023000","NEW DELHI PALAM, IN","2020-04-27","0.16","81",,"65"
"IN022023000","NEW DELHI PALAM, IN","2020-04-28","0.00","84",,"72"
"IN022023000","NEW DELHI PALAM, IN","2020-04-29",,"88",,"74"
"IN022023000","NEW DELHI PALAM, IN","2020-04-30",,"89",,"76"
"IN022023000","NEW DELHI PALAM, IN","2020-05-01",,"89","103","75"
"IN022023000","NEW DELHI PALAM, IN","2020-05-02",,"86","105","76"
"IN022023000","NEW DELHI PALAM, IN","2020-05-03","0.08","80","102",
"IN022023000","NEW DELHI PALAM, IN","2020-05-04","0.20","83",,"67"
"IN022023000","NEW DELHI PALAM, IN","2020-05-05","0.00","88","101","72"
"IN022023000","NEW DELHI PALAM, IN","2020-05-06",,"85","101","74"
"IN022023000","NEW DELHI PALAM, IN","2020-05-07",,"87","102","71"
"IN022023000","NEW DELHI PALAM, IN","2020-05-08",,"90",,"73"
"IN022023000","NEW DELHI PALAM, IN","2020-05-09",,"92","106","76"
"IN022023000","NEW DELHI PALAM, IN","2020-05-10",,"81","108",
"IN022023000","NEW DELHI PALAM, IN","2020-05-11",,"85","98","68"
"IN022023000","NEW DELHI PALAM, IN","2020-05-12",,"89",,"74"
"IN022023000","NEW DELHI PALAM, IN","2020-05-13",,"86","101","78"
"IN022023000","NEW DELHI PALAM, IN","2020-05-14",,"87","106","74"
"IN022023000","NEW DELHI PALAM, IN","2020-05-15","0.00","90","106","73"
"IN022023000","NEW DELHI PALAM, IN","2020-05-16",,"91",,"76"
